city,hotel_name,hotel_price,hotel_position,hotel_review,hotel_rating_star,hotel_description,hotel_url
Saint-Malo,Hôtel Barrière Le Grand Hôtel Dinard,€ 3 972,"2,6 km de : Saint-Malo",Fabuleux ,10,,https://www.booking.com/hotel/fr/grand-barriere.fr.html?aid=304142&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-25&dest_id=-1466824&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=2a84a962e8131a656343bb43550ee7bc&srepoch=1752856551&all_sr_blocks=5356603_88556913_2_42_0&highlighted_blocks=5356603_88556913_2_42_0&matching_block_id=5356603_88556913_2_42_0&sr_pri_blocks=5356603_88556913_2_42_0__397199&from=searchresults
Saint-Malo,Royal Emeraude Hotel Dinard - MGallery Collection,€ 1 746,"2,7 km de : Saint-Malo",Superbe,8,,https://www.booking.com/hotel/fr/mercure-emeraude.fr.html?aid=304142&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-25&dest_id=-1466824&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=2a84a962e8131a656343bb43550ee7bc&srepoch=1752856551&all_sr_blocks=7565310_378331496_2_2_0&highlighted_blocks=7565310_378331496_2_2_0&matching_block_id=7565310_378331496_2_2_0&sr_pri_blocks=7565310_378331496_2_2_0__174626&from_sustainable_property_sr=1&from=searchresults
Saint-Malo,Villa Yara - moderne avec piscine (Plage à 700m),€ 7 008,"3,9 km de : Saint-Malo",,0,Villa entière. 4 chambres. 3 salles de bains. 1 cuisine. 150 m²,https://www.booking.com/hotel/fr/villa-yara-moderne-avec-piscine-plage-a-700m.fr.html?aid=304142&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-25&dest_id=-1466824&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=2a84a962e8131a656343bb43550ee7bc&srepoch=1752856551&all_sr_blocks=772673801_335201937_0_0_0&highlighted_blocks=772673801_335201937_0_0_0&matching_block_id=772673801_335201937_0_0_0&sr_pri_blocks=772673801_335201937_0_0_0__700800&from=searchresults
Saint-Malo,Premiere Classe Saint Malo St Jouan Des Guerets,€ 542,"6,3 km de : Saint-Malo",Bien ,2,,https://www.booking.com/hotel/fr/premiere-classe-saint-malo-st-jouan-des-guerets.fr.html?aid=304142&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-25&dest_id=-1466824&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=2a84a962e8131a656343bb43550ee7bc&srepoch=1752856551&all_sr_blocks=5474004_202109223_3_2_0&highlighted_blocks=5474004_202109223_3_2_0&matching_block_id=5474004_202109223_3_2_0&sr_pri_blocks=5474004_202109223_3_2_0__54190&from=searchresults
Saint-Malo,Campanile Saint-Malo ~ Saint-Jouan-Des-Guerets,€ 707,"6,4 km de : Saint-Malo",Bien ,6,,https://www.booking.com/hotel/fr/campanile-saint-malo-saint-jouan-des-guerets.fr.html?aid=304142&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-25&dest_id=-1466824&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=2a84a962e8131a656343bb43550ee7bc&srepoch=1752856551&all_sr_blocks=21941304_0_2_0_0&highlighted_blocks=21941304_0_2_0_0&matching_block_id=21941304_0_2_0_0&sr_pri_blocks=21941304_0_2_0_0__70675&from=searchresults
Saint-Malo,Self Catering GIte des trauchandieres,€ 2 207,"8,2 km de : Saint-Malo",Superbe,0,Maison de vacances entière. 4 chambres. 1 salon. 3 salles de bains. 1 cuisine. 150 m²,https://www.booking.com/hotel/fr/self-catering-gite-des-trauchandieres.fr.html?aid=304142&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-25&dest_id=-1466824&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=2a84a962e8131a656343bb43550ee7bc&srepoch=1752856551&all_sr_blocks=210821401_411516269_8_0_0&highlighted_blocks=210821401_411516269_8_0_0&matching_block_id=210821401_411516269_8_0_0&sr_pri_blocks=210821401_411516269_8_0_0__220732&from=searchresults
Bayeux,"Hôtel particulier ""le clos de la croix""",€ 1 694,200 m du centre,Exceptionnel,0,,https://www.booking.com/hotel/fr/particulier-quot-le-clos-de-la-croix-quot.fr.html?aid=304142&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-25&dest_id=-1410836&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=f9700d6a6df1acce38fd0f589d1dd990&srepoch=1752856551&all_sr_blocks=325287403_417200934_2_1_0&highlighted_blocks=325287403_417200934_2_1_0&matching_block_id=325287403_417200934_2_1_0&sr_pri_blocks=325287403_417200934_2_1_0__169400&from=searchresults
Bayeux,Premiere Classe Bayeux,€ 657,"0,8 km du centre",Bien ,4,,https://www.booking.com/hotel/fr/premiere-classe-bayeux.fr.html?aid=304142&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-25&dest_id=-1410836&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=f9700d6a6df1acce38fd0f589d1dd990&srepoch=1752856551&all_sr_blocks=17630802_189928367_2_2_0&highlighted_blocks=17630802_189928367_2_2_0&matching_block_id=17630802_189928367_2_2_0&sr_pri_blocks=17630802_189928367_2_2_0__65720&from=searchresults
Bayeux,Churchill Hotel Bayeux Centre,€ 1 970,150 m du centre,Très bien,6,,https://www.booking.com/hotel/fr/churchill-bayeux.fr.html?aid=304142&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-25&dest_id=-1410836&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=f9700d6a6df1acce38fd0f589d1dd990&srepoch=1752856551&all_sr_blocks=7958605_409937086_0_2_0&highlighted_blocks=7958605_409937086_0_2_0&matching_block_id=7958605_409937086_0_2_0&sr_pri_blocks=7958605_409937086_0_2_0__196990&from=searchresults
Bayeux,The Victory,€ 910,"0,7 km du centre",Très bien,0,Studio entier. 1 salle de bains. 1 cuisine. 20 m²,https://www.booking.com/hotel/fr/the-victory.fr.html?aid=304142&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-25&dest_id=-1410836&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=f9700d6a6df1acce38fd0f589d1dd990&srepoch=1752856551&all_sr_blocks=1188063201_391152075_2_0_0&highlighted_blocks=1188063201_391152075_2_0_0&matching_block_id=1188063201_391152075_2_0_0&sr_pri_blocks=1188063201_391152075_2_0_0__91000&from=searchresults
